No,Nama Pose,Sudut Kamera,Deskripsi Pose,Detail Unik (Diferensiasi),Energi
1,High-Angle Hands Reaching (Asymmetric),High angle (Looking down),"Badan membungkuk ke depan, kamera di atas. Satu tangan menjangkau sangat dekat ke lensa, tangan lainnya ditarik ke belakang pinggul.","Gunakan asimetri ekstrem; satu tangan dominan di foreground, tangan lain tersembunyi untuk menciptakan kedalaman.",HIGH
2,The Feral Crawl,Ground level,"Berjongkok dengan satu lutut menyentuh lantai, kaki lainnya terbuka lebar ke samping. Jari tangan mencengkeram lantai.",Pose menyerupai laba-laba (spider-like legs). Berat badan bertumpu pada jari-jari tangan (claw-like).,HIGH
3,Top-Down V-Shape,Top-down (90 degrees),Duduk di lantai dengan kaki terbuka lebar membentuk huruf V. Tangan menumpu di lantai belakang badan.,Kepala mendongak total melihat kamera. Komposisi geometris simetris dari sudut pandang burung.,MEDIUM
4,The Broken Doll Contrapposto,Eye level 3/4,"Berat badan di satu kaki. Pinggul didorong ke samping, bahu dimiringkan ke arah yang SAMA dengan pinggul.",Menciptakan tegangan leher yang tidak alami; kesan boneka rusak yang artistik.,MEDIUM
5,The Leaning Giant,Low angle (Looking up),"Kamera sangat rendah. Model bersandar pada dinding imajiner, pinggul didorong ke arah kamera.",Badan condong ke depan melewati kamera. Lengan jatuh lemas (dead arms) untuk kontras dengan postur dominan.,HIGH
6,Window Framing Face,Eye level front,Kedua tangan membentuk jendela di depan wajah tanpa menyentuh kulit. Mata menatap intens melalui celah tangan.,Tangan tidak menempel di wajah (floating hands). Fokus pada kejernihan mata.,LOW
7,The Inward Lean Wall,Eye level 3/4,Bersandar pada dinding. Kaki luar disilangkan di depan kaki tumpuan. Kepala menoleh lurus ke samping (profil).,Tangan disembunyikan di belakang punggung. Kesan misterius dan tenang.,LOW
8,The Advanced Mid-Stride,Ground level,Berjalan lurus ke arah kamera. Tangkap saat kaki depan baru saja menapak lurus di depan lensa.,Baju/mantel harus menunjukkan gerakan lateral yang kuat (movement blur pada kain).,MEDIUM
9,The Floating One-Leg,Eye level front,"Berdiri pada satu kaki, kaki lainnya diangkat tinggi dengan lutut ditekuk 90 derajat.","Satu lengan diangkat untuk keseimbangan, telapak tangan terbuka menghadap kamera.",HIGH
10,The Contemplative Side-Tilt,Eye level 3/4,Kepala miring 60 derajat menjauhi kamera. Mata melihat ke arah cahaya/luar bingkai.,"Torso tetap menghadap kamera, hanya leher dan kepala yang berputar ekstrem.",LOW
11,Fisheye Head-Reach,Extreme High Angle,Wajah sangat dekat ke lensa (head dominant). Kedua tangan terbuka lebar membingkai tepi bingkai.,Gunakan distorsi wide-angle untuk membuat dahi/kepala terlihat besar dan futuristik.,HIGH
12,The Compact defensive Crouch,Ground level,"Meringkuk kecil. Lutut ditarik ke dada, lengan memeluk lutut. Kepala menunduk, mata melihat ke lensa.",Gunakan volume pakaian (oversized) untuk membuat model terlihat seperti gumpalan kain.,HIGH
13,Meditative Top-Down,Top-down (90 degrees),Duduk bersila atau kaki tertekuk simetris. Tangan di atas lutut. Kepala mendongak lurus ke atas.,Pose sangat tenang (zen) ditengah komposisi lantai yang keras/industrial.,MEDIUM
14,Classical Sculpture Pop,Eye level 3/4,"Contrapposto sempurna. Satu kaki lurus, satu kaki ditekuk ujung jari menyentuh lantai.","Satu tangan memegang kerah jaket, tangan lain masuk saku belakang.",MEDIUM
15,The Aggressive Lunge,Low angle,"Posisi menerjang (lunge). Lutut depan ditekuk tajam, kaki belakang lurus jauh ke belakang.",Badan condong rendah di atas lutut depan. Lengan mendorong ke depan.,HIGH
16,The Viewfinder Frame,Eye level front,"Tangan membentuk 'L' di depan mata, menirukan bingkai kamera.",Ekspresi wajah berani/menantang di balik bingkai tangan.,LOW
17,The Tension Brace,Eye level 3/4,Kedua tangan menempel di dinding seolah mendorong beban berat. Siku lurus.,Kepala menoleh ke arah bahu melihat kamera. Fokus pada ketegangan otot lengan.,LOW
18,Lateral Passing Profile,Ground level side,Berjalan melintasi kamera (lateral). Full profil. Tidak melihat kamera.,Gunakan shutter speed lambat (jika mungkin) untuk motion blur pada kaki.,MEDIUM
19,The Elevated Step,Eye level side,Satu kaki diletakkan di atas kotak atau tangga. Badan condong ke lutut yang tinggi.,Kedua tangan bertumpu pada lutut yang tinggi. Pose terlihat bertujuan dan tangguh.,MEDIUM
